restaurantname,pricerange,area,food,phone,addr,postcode,food_quality,crowdedness,length_of_stay
rice house,cheap,south,chinese,01223 367755,88 mill road city centre,,great,low,short
the river bar steakhouse and grill,cheap,centre,modern european,01223 307030,quayside off bridge street,c.b 5,good,low,short
nandos city centre,cheap,centre,portuguese,01223 327908,33-34 saint andrews street,c.b 2,mediocre,medium,long
prezzo,moderate,west,italian,01799 521260,21 - 24 northampton road,c.b 3,great,low,short
galleria,moderate,centre,european,01223 362054,33 bridge street,c.b 2,great,low,short
bloomsbury restaurant,moderate,north,international,0871 942 9180,crowne plaza hotel 20 downing street,c.b 2,good,medium,long
the good luck chinese food takeaway,expensive,south,chinese,01223 244149,82 cherry hinton road cherry hinton,c.b 1,mediocre,medium,short
the varsity restaurant,moderate,centre,international,01223 356060,35 saint andrews street city centre,c.b 2,mediocre,low,short
de luca cucina and bar,moderate,centre,modern european,01223 356666,83 regent street,c.b 2,good,low,medium
da vinci pizzeria,cheap,north,traditional,01223 351707,20 milton road chesterton,c.b 4,good,low,medium
shiraz restaurant,expensive,centre,mediterranean,01223 307581,84 regent street city centre,c.b 2,good,high,short
the lucky star,cheap,south,chinese,01223 244277,cambridge leisure park clifton way cherry hinton,c.b 1,good,high,long
royal spice,cheap,north,indian,01733 553355,victoria avenue chesterton,c.b 4,mediocre,high,short
ask,cheap,centre,seafood,01223 364917,12 bridge street city centre,c.b 2,good,low,short
taj tandoori,expensive,south,portuguese,01223 412299,64 cherry hinton road cherry hinton,c.b 1,great,high,short
tandoori palace,moderate,north,indian,01223 506055,68 histon road chesterton,c.b 4,good,high,long
yippee noodle bar,moderate,centre,asian oriental,01223 518111,40428 king street city centre,c.b 1,mediocre,high,long
travellers rest,expensive,west,british,01223 276182,huntingdon road city centre,,mediocre,low,medium
maharajah tandoori restaurant,expensive,east,indian,01223 358399,41518 castle street city centre,c.b 3,good,medium,medium
shanghai family restaurant,moderate,east,chinese,01223 301761,39 burleigh street city centre,,great,low,short
curry prince,expensive,east,indian,01223 566388,451 newmarket road fen ditton,c.b 5,good,medium,short
the gandhi,cheap,centre,indian,01223 353942,72 regent street city centre,,great,medium,medium
kymmoy,expensive,centre,asian oriental,01223 311911,52 mill road city centre,c.b 1,mediocre,low,short
golden house,cheap,centre,polynesian,01842 753771,12 lensfield road city centre,,mediocre,high,long
bedouin,expensive,centre,african,01223 367660,100 mill road city centre,c.b 1,good,high,long
pipasha restaurant,expensive,east,indian,01223 577786,newmarket road fen ditton,c.b 5,great,high,long
charlie chan,cheap,centre,chinese,01223 361763,regent street city centre,c.b 2,good,medium,medium
lan hong house,moderate,centre,thai,01223 350420,12 norfolk street city centre,,mediocre,medium,medium
la tasca,moderate,centre,spanish,01223 464630,14 -16 bridge street,c.b 2,good,low,long
backstreet bistro,expensive,south,gastropub,01223 306306,2 sturton street city centre,c.b 1,good,low,long
la raza,cheap,centre,spanish,01223 464550,4 - 6 rose crescent,c.b 2,good,high,medium
the slug and lettuce,expensive,east,gastropub,dontcare,34 - 35 green street,c.b 2,mediocre,high,short
restaurant one seven,moderate,north,british,01223 337766,de vere university arms regent street city centre,,great,low,long
fitzbillies restaurant,expensive,centre,british,01223 352500,51 trumpington street city centre,,mediocre,high,long
anatolia,moderate,centre,turkish,01223 362372,30 bridge street city centre,c.b 2,good,low,medium
clowns cafe,moderate,centre,bistro,01223 355711,,c.b 1,great,medium,long
kohinoor,cheap,west,indian,01223 323639,74 mill road city centre,,good,low,long
the cambridge chop house,cheap,centre,british,01223 359506,1 kings parade,,mediocre,low,medium
gourmet burger kitchen,expensive,centre,north american,01223 312598,regent street city centre,c.b 2,good,high,medium
la mimosa,expensive,centre,mediterranean,01223 362525,thompsons lane fen ditton,c.b 5,mediocre,medium,medium
meze bar restaurant,expensive,centre,turkish,,196 mill road city centre,c.b 1,great,low,short
the golden curry,expensive,south,australasian,01223 329432,,,mediocre,high,long
curry queen,moderate,,indian,,106 mill road city centre,c.b 1,mediocre,medium,medium
hakka,cheap,north,persian,01223 568988,milton road chesterton,c.b 4,great,medium,medium
the oak bistro,moderate,centre,british,01223 323361,6 lensfield road,,good,medium,medium
riverside brasserie,moderate,centre,gastropub,01223 259988,doubletree by hilton cambridge granta place mill lane,,great,high,medium
the copper kettle,moderate,east,british,01223 365068,4 kings parade city centre,c.b 2,good,medium,long
zizzi cambridge,expensive,south,italian,01223 365599,47-53 regent street,,great,low,medium
saffron brasserie,expensive,centre,jamaican,,,,good,high,short
india house,expensive,west,indian,01223 461661,31 newnham road newnham,,mediocre,medium,medium
ali baba,moderate,centre,lebanese,01462 432565,59 hills road city centre,c.b 2,great,medium,medium
rice boat,expensive,north,indian,01223 302800,37 newnham road newnham,,mediocre,high,short
midsummer house restaurant,expensive,centre,british,01223 369299,midsummer common,,mediocre,medium,short
hotel du vin and bistro,moderate,centre,european,01223 227330,15 - 19 trumpington street,c.b 2,great,low,medium
darrys cookhouse and wine shop,expensive,south,modern european,01223 505015,40270 king street city centre,c.b 1,great,high,long
pizza express,cheap,centre,spanish,01223 324033,,c.b 2,good,high,medium
jinling noodle bar,moderate,centre,cuban,01223 566188,11 peas hill city centre,c.b 2,good,high,short
graffiti,moderate,north,indian,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3,good,medium,long
wagamama,expensive,centre,japanese,01223 462354,36 saint andrews street,c.b 2,great,low,medium
pizza hut city centre,cheap,centre,italian,01223 323737,regent street city centre,,mediocre,high,medium
curry king,expensive,centre,seafood,01223 324351,5 jordans yard bridge street city centre,,good,high,medium
panahar,expensive,centre,mediterranean,,,,good,medium,long
ugly duckling,expensive,centre,catalan,,12 st. johns street city centre,,good,high,short
pizza express fen ditton,moderate,centre,european,,jesus lane fen ditton,,mediocre,medium,long
sesame restaurant and bar,moderate,,turkish,,,,great,medium,short
hk fusion,expensive,centre,thai,,21 burleigh street city centre,c.b 1,good,high,medium
